TIME + ID,,,,INPUTS,,,,,,OUTPUTS,,,,,
LineNr,ID,Time scheduled [hh::mm],,Rotor speed [% rpm],Side slip [deg],V_inflow [m/s],AOA [deg],Shell [-],,Time measured  [hh::mm],Rotor speed [rpm],Side slip [deg],V_inflow [m/s],AOA [deg],Defl. Angle [deg]
102,20-15-25-12-S,9:20,,20,15,25,12,S,,,,,,,
103,20-15-25-16-S,9:21,,20,15,25,16,S,,,,,,,
104,20-15-25-20-S,9:21,,20,15,25,20,S,,,,,,,
105,30-15-25-0-S,9:22,,30,15,25,0,S,,,,,,,
106,30-15-25-4-S,9:22,,30,15,25,4,S,,,,,,,
107,30-15-25-6-S,9:23,,30,15,25,6,S,,,,,,,
108,30-15-25-8-S,9:23,,30,15,25,8,S,,,,,,,
109,30-15-25-10-S,9:24,,30,15,25,10,S,,,,,,,
110,30-15-25-12-S,9:24,,30,15,25,12,S,,,,,,,
111,30-15-25-16-S,9:25,,30,15,25,16,S,,,,,,,
112,30-15-25-20-S,9:25,,30,15,25,20,S,,,,,,,
113,40-15-25-0-S,9:26,,40,15,25,0,S,,,,,,,
114,40-15-25-4-S,9:26,,40,15,25,4,S,,,,,,,
115,40-15-25-6-S,9:27,,40,15,25,6,S,,,,,,,
116,40-15-25-8-S,9:27,,40,15,25,8,S,,,,,,,
117,40-15-25-10-S,9:28,,40,15,25,10,S,,,,,,,
118,40-15-25-12-S,9:28,,40,15,25,12,S,,,,,,,
119,40-15-25-16-S,9:29,,40,15,25,16,S,,,,,,,
120,40-15-25-20-S,9:29,,40,15,25,20,S,,,,,,,
121,20-15-30-0-S,9:30,,20,15,30,0,S,,,,,,,
122,20-15-30-4-S,9:30,,20,15,30,4,S,,,,,,,
123,20-15-30-6-S,9:31,,20,15,30,6,S,,,,,,,
124,20-15-30-8-S,9:31,,20,15,30,8,S,,,,,,,
125,20-15-30-10-S,9:32,,20,15,30,10,S,,,,,,,
126,20-15-30-12-S,9:32,,20,15,30,12,S,,,,,,,
127,20-15-30-16-S,9:33,,20,15,30,16,S,,,,,,,
128,20-15-30-20-S,9:33,,20,15,30,20,S,,,,,,,
129,30-15-30-0-S,9:34,,30,15,30,0,S,,,,,,,
