TIME + ID,,,,INPUTS,,,,,,OUTPUTS,,,,,
LineNr,ID,Time scheduled [hh::mm],,Rotor speed [% rpm],Side slip [deg],V_inflow [m/s],AOA [deg],Shell [-],,Time measured  [hh::mm],Rotor speed [rpm],Side slip [deg],V_inflow [m/s],AOA [deg],Defl. Angle [deg]
1,60-0-4-30-,8:30,,60,0,4,30,,,,,,,,
2,60-0-4-33-,8:30,,60,0,4,33,,,,,,,,
3,60-0-4-36-,8:31,,60,0,4,36,,,,,,,,
4,60-0-4-39-,8:31,,60,0,4,39,,,,,,,,
5,60-0-4-42-,8:32,,60,0,4,42,,,,,,,,
6,60-0-4-45-,8:32,,60,0,4,45,,,,,,,,
7,60-0-4-48-,8:33,,60,0,4,48,,,,,,,,
8,60-0-4-51-,8:33,,60,0,4,51,,,,,,,,
9,60-0-4-54-,8:34,,60,0,4,54,,,,,,,,
10,60-0-4-57-,8:34,,60,0,4,57,,,,,,,,
11,60-0-4-60-,8:35,,60,0,4,60,,,,,,,,
12,60-0-4-63-,8:35,,60,0,4,63,,,,,,,,
13,60-0-4-66-,8:36,,60,0,4,66,,,,,,,,
14,60-0-4-69-,8:36,,60,0,4,69,,,,,,,,
15,60-0-4-72-,8:37,,60,0,4,72,,,,,,,,
16,60-0-4-75-,8:37,,60,0,4,75,,,,,,,,
17,60-0-4-78-,8:38,,60,0,4,78,,,,,,,,
18,60-0-4-81-,8:38,,60,0,4,81,,,,,,,,
19,60-0-4-84-,8:39,,60,0,4,84,,,,,,,,
20,60-0-4-87-,8:39,,60,0,4,87,,,,,,,,
21,65-0-4-30-,8:40,,65,0,4,30,,,,,,,,
22,65-0-4-33-,8:40,,65,0,4,33,,,,,,,,
23,65-0-4-36-,8:41,,65,0,4,36,,,,,,,,
24,65-0-4-39-,8:41,,65,0,4,39,,,,,,,,
25,65-0-4-42-,8:42,,65,0,4,42,,,,,,,,
26,65-0-4-45-,8:42,,65,0,4,45,,,,,,,,
27,65-0-4-48-,8:43,,65,0,4,48,,,,,,,,
28,65-0-4-51-,8:43,,65,0,4,51,,,,,,,,
29,65-0-4-54-,8:44,,65,0,4,54,,,,,,,,
30,65-0-4-57-,8:44,,65,0,4,57,,,,,,,,
31,65-0-4-60-,8:45,,65,0,4,60,,,,,,,,
32,65-0-4-63-,8:45,,65,0,4,63,,,,,,,,
33,65-0-4-66-,8:46,,65,0,4,66,,,,,,,,
34,65-0-4-69-,8:46,,65,0,4,69,,,,,,,,
35,65-0-4-72-,8:47,,65,0,4,72,,,,,,,,
36,65-0-4-75-,8:47,,65,0,4,75,,,,,,,,
37,65-0-4-78-,8:48,,65,0,4,78,,,,,,,,
38,65-0-4-81-,8:48,,65,0,4,81,,,,,,,,
39,65-0-4-84-,8:49,,65,0,4,84,,,,,,,,
40,65-0-4-87-,8:49,,65,0,4,87,,,,,,,,
41,70-0-4-30-,8:50,,70,0,4,30,,,,,,,,
42,70-0-4-33-,8:50,,70,0,4,33,,,,,,,,
43,70-0-4-36-,8:51,,70,0,4,36,,,,,,,,
44,70-0-4-39-,8:51,,70,0,4,39,,,,,,,,
45,70-0-4-42-,8:52,,70,0,4,42,,,,,,,,
46,70-0-4-45-,8:52,,70,0,4,45,,,,,,,,
47,70-0-4-48-,8:53,,70,0,4,48,,,,,,,,
48,70-0-4-51-,8:53,,70,0,4,51,,,,,,,,
49,70-0-4-54-,8:54,,70,0,4,54,,,,,,,,
50,70-0-4-57-,8:54,,70,0,4,57,,,,,,,,
51,70-0-4-60-,8:55,,70,0,4,60,,,,,,,,
52,70-0-4-63-,8:55,,70,0,4,63,,,,,,,,
53,70-0-4-66-,8:56,,70,0,4,66,,,,,,,,
54,70-0-4-69-,8:56,,70,0,4,69,,,,,,,,
55,70-0-4-72-,8:57,,70,0,4,72,,,,,,,,
56,70-0-4-75-,8:57,,70,0,4,75,,,,,,,,
57,70-0-4-78-,8:58,,70,0,4,78,,,,,,,,
58,70-0-4-81-,8:58,,70,0,4,81,,,,,,,,
59,70-0-4-84-,8:59,,70,0,4,84,,,,,,,,
60,70-0-4-87-,8:59,,70,0,4,87,,,,,,,,
61,75-0-4-30-,9:00,,75,0,4,30,,,,,,,,
62,75-0-4-33-,9:00,,75,0,4,33,,,,,,,,
63,75-0-4-36-,9:01,,75,0,4,36,,,,,,,,
64,75-0-4-39-,9:01,,75,0,4,39,,,,,,,,
65,75-0-4-42-,9:02,,75,0,4,42,,,,,,,,
66,75-0-4-45-,9:02,,75,0,4,45,,,,,,,,
67,75-0-4-48-,9:03,,75,0,4,48,,,,,,,,
68,75-0-4-51-,9:03,,75,0,4,51,,,,,,,,
69,75-0-4-54-,9:04,,75,0,4,54,,,,,,,,
70,75-0-4-57-,9:04,,75,0,4,57,,,,,,,,
71,75-0-4-60-,9:05,,75,0,4,60,,,,,,,,
72,75-0-4-63-,9:05,,75,0,4,63,,,,,,,,
73,75-0-4-66-,9:06,,75,0,4,66,,,,,,,,
74,75-0-4-69-,9:06,,75,0,4,69,,,,,,,,
75,75-0-4-72-,9:07,,75,0,4,72,,,,,,,,
76,75-0-4-75-,9:07,,75,0,4,75,,,,,,,,
77,75-0-4-78-,9:08,,75,0,4,78,,,,,,,,
78,75-0-4-81-,9:08,,75,0,4,81,,,,,,,,
79,75-0-4-84-,9:09,,75,0,4,84,,,,,,,,
80,75-0-4-87-,9:09,,75,0,4,87,,,,,,,,
81,80-0-4-30-,9:10,,80,0,4,30,,,,,,,,
82,80-0-4-33-,9:10,,80,0,4,33,,,,,,,,
83,80-0-4-36-,9:11,,80,0,4,36,,,,,,,,
84,80-0-4-39-,9:11,,80,0,4,39,,,,,,,,
85,80-0-4-42-,9:12,,80,0,4,42,,,,,,,,
86,80-0-4-45-,9:12,,80,0,4,45,,,,,,,,
87,80-0-4-48-,9:13,,80,0,4,48,,,,,,,,
88,80-0-4-51-,9:13,,80,0,4,51,,,,,,,,
89,80-0-4-54-,9:14,,80,0,4,54,,,,,,,,
90,80-0-4-57-,9:14,,80,0,4,57,,,,,,,,
91,80-0-4-60-,9:15,,80,0,4,60,,,,,,,,
92,80-0-4-63-,9:15,,80,0,4,63,,,,,,,,
93,80-0-4-66-,9:16,,80,0,4,66,,,,,,,,
94,80-0-4-69-,9:16,,80,0,4,69,,,,,,,,
95,80-0-4-72-,9:17,,80,0,4,72,,,,,,,,
96,80-0-4-75-,9:17,,80,0,4,75,,,,,,,,
97,80-0-4-78-,9:18,,80,0,4,78,,,,,,,,
98,80-0-4-81-,9:18,,80,0,4,81,,,,,,,,
99,80-0-4-84-,9:19,,80,0,4,84,,,,,,,,
100,80-0-4-87-,9:19,,80,0,4,87,,,,,,,,
101,85-0-4-30-,9:20,,85,0,4,30,,,,,,,,
102,85-0-4-33-,9:20,,85,0,4,33,,,,,,,,
103,85-0-4-36-,9:21,,85,0,4,36,,,,,,,,
104,85-0-4-39-,9:21,,85,0,4,39,,,,,,,,
105,85-0-4-42-,9:22,,85,0,4,42,,,,,,,,
106,85-0-4-45-,9:22,,85,0,4,45,,,,,,,,
107,85-0-4-48-,9:23,,85,0,4,48,,,,,,,,
108,85-0-4-51-,9:23,,85,0,4,51,,,,,,,,
109,85-0-4-54-,9:24,,85,0,4,54,,,,,,,,
110,85-0-4-57-,9:24,,85,0,4,57,,,,,,,,
111,85-0-4-60-,9:25,,85,0,4,60,,,,,,,,
112,85-0-4-63-,9:25,,85,0,4,63,,,,,,,,
113,85-0-4-66-,9:26,,85,0,4,66,,,,,,,,
114,85-0-4-69-,9:26,,85,0,4,69,,,,,,,,
115,85-0-4-72-,9:27,,85,0,4,72,,,,,,,,
116,85-0-4-75-,9:27,,85,0,4,75,,,,,,,,
117,85-0-4-78-,9:28,,85,0,4,78,,,,,,,,
118,85-0-4-81-,9:28,,85,0,4,81,,,,,,,,
119,85-0-4-84-,9:29,,85,0,4,84,,,,,,,,
120,85-0-4-87-,9:29,,85,0,4,87,,,,,,,,
121,90-0-4-30-,9:30,,90,0,4,30,,,,,,,,
122,90-0-4-33-,9:30,,90,0,4,33,,,,,,,,
123,90-0-4-36-,9:31,,90,0,4,36,,,,,,,,
124,90-0-4-39-,9:31,,90,0,4,39,,,,,,,,
125,90-0-4-42-,9:32,,90,0,4,42,,,,,,,,
126,90-0-4-45-,9:32,,90,0,4,45,,,,,,,,
127,90-0-4-48-,9:33,,90,0,4,48,,,,,,,,
128,90-0-4-51-,9:33,,90,0,4,51,,,,,,,,
129,90-0-4-54-,9:34,,90,0,4,54,,,,,,,,
130,90-0-4-57-,9:34,,90,0,4,57,,,,,,,,
131,90-0-4-60-,9:35,,90,0,4,60,,,,,,,,
132,90-0-4-63-,9:35,,90,0,4,63,,,,,,,,
133,90-0-4-66-,9:36,,90,0,4,66,,,,,,,,
134,90-0-4-69-,9:36,,90,0,4,69,,,,,,,,
135,90-0-4-72-,9:37,,90,0,4,72,,,,,,,,
136,90-0-4-75-,9:37,,90,0,4,75,,,,,,,,
137,90-0-4-78-,9:38,,90,0,4,78,,,,,,,,
138,90-0-4-81-,9:38,,90,0,4,81,,,,,,,,
139,90-0-4-84-,9:39,,90,0,4,84,,,,,,,,
140,90-0-4-87-,9:39,,90,0,4,87,,,,,,,,
141,95-0-4-30-,9:40,,95,0,4,30,,,,,,,,
142,95-0-4-33-,9:40,,95,0,4,33,,,,,,,,
143,95-0-4-36-,9:41,,95,0,4,36,,,,,,,,
144,95-0-4-39-,9:41,,95,0,4,39,,,,,,,,
145,95-0-4-42-,9:42,,95,0,4,42,,,,,,,,
146,95-0-4-45-,9:42,,95,0,4,45,,,,,,,,
147,95-0-4-48-,9:43,,95,0,4,48,,,,,,,,
148,95-0-4-51-,9:43,,95,0,4,51,,,,,,,,
149,95-0-4-54-,9:44,,95,0,4,54,,,,,,,,
150,95-0-4-57-,9:44,,95,0,4,57,,,,,,,,
151,95-0-4-60-,9:45,,95,0,4,60,,,,,,,,
152,95-0-4-63-,9:45,,95,0,4,63,,,,,,,,
153,95-0-4-66-,9:46,,95,0,4,66,,,,,,,,
154,95-0-4-69-,9:46,,95,0,4,69,,,,,,,,
155,95-0-4-72-,9:47,,95,0,4,72,,,,,,,,
156,95-0-4-75-,9:47,,95,0,4,75,,,,,,,,
157,95-0-4-78-,9:48,,95,0,4,78,,,,,,,,
158,95-0-4-81-,9:48,,95,0,4,81,,,,,,,,
159,95-0-4-84-,9:49,,95,0,4,84,,,,,,,,
160,95-0-4-87-,9:49,,95,0,4,87,,,,,,,,
161,100-0-4-30-,9:50,,100,0,4,30,,,,,,,,
162,100-0-4-33-,9:50,,100,0,4,33,,,,,,,,
163,100-0-4-36-,9:51,,100,0,4,36,,,,,,,,
164,100-0-4-39-,9:51,,100,0,4,39,,,,,,,,
165,100-0-4-42-,9:52,,100,0,4,42,,,,,,,,
166,100-0-4-45-,9:52,,100,0,4,45,,,,,,,,
167,100-0-4-48-,9:53,,100,0,4,48,,,,,,,,
168,100-0-4-51-,9:53,,100,0,4,51,,,,,,,,
169,100-0-4-54-,9:54,,100,0,4,54,,,,,,,,
170,100-0-4-57-,9:54,,100,0,4,57,,,,,,,,
171,100-0-4-60-,9:55,,100,0,4,60,,,,,,,,
172,100-0-4-63-,9:55,,100,0,4,63,,,,,,,,
173,100-0-4-66-,9:56,,100,0,4,66,,,,,,,,
174,100-0-4-69-,9:56,,100,0,4,69,,,,,,,,
175,100-0-4-72-,9:57,,100,0,4,72,,,,,,,,
176,100-0-4-75-,9:57,,100,0,4,75,,,,,,,,
177,100-0-4-78-,9:58,,100,0,4,78,,,,,,,,
178,100-0-4-81-,9:58,,100,0,4,81,,,,,,,,
179,100-0-4-84-,9:59,,100,0,4,84,,,,,,,,
180,100-0-4-87-,9:59,,100,0,4,87,,,,,,,,
181,60-0-6-30-,10:00,,60,0,6,30,,,,,,,,
182,60-0-6-33-,10:00,,60,0,6,33,,,,,,,,
183,60-0-6-36-,10:01,,60,0,6,36,,,,,,,,
184,60-0-6-39-,10:01,,60,0,6,39,,,,,,,,
185,60-0-6-42-,10:02,,60,0,6,42,,,,,,,,
