TIME + ID,,,,INPUTS,,,,,,OUTPUTS,,,,,
LineNr,ID,Time scheduled [hh::mm],,Rotor speed [% rpm],Side slip [deg],V_inflow [m/s],AOA [deg],Shell [-],,Time measured  [hh::mm],Rotor speed [rpm],Side slip [deg],V_inflow [m/s],AOA [deg],Defl. Angle [deg]
1,10-0-3-0-,8:30,,10,0,3,0,,,,,,,,
2,10-0-3-1-,8:30,,10,0,3,1,,,,,,,,
3,10-0-3-2-,8:31,,10,0,3,2,,,,,,,,
4,10-0-3-3-,8:31,,10,0,3,3,,,,,,,,
5,10-0-3-4-,8:32,,10,0,3,4,,,,,,,,
6,10-0-3-5-,8:32,,10,0,3,5,,,,,,,,
7,10-0-3-6-,8:33,,10,0,3,6,,,,,,,,
8,10-0-3-7-,8:33,,10,0,3,7,,,,,,,,
9,10-0-3-8-,8:34,,10,0,3,8,,,,,,,,
10,10-0-3-9-,8:34,,10,0,3,9,,,,,,,,
11,10-0-3-10-,8:35,,10,0,3,10,,,,,,,,
12,10-0-3-11-,8:35,,10,0,3,11,,,,,,,,
13,10-0-3-12-,8:36,,10,0,3,12,,,,,,,,
14,10-0-3-13-,8:36,,10,0,3,13,,,,,,,,
15,10-0-3-14-,8:37,,10,0,3,14,,,,,,,,
16,10-0-3-15-,8:37,,10,0,3,15,,,,,,,,
17,10-0-3-16-,8:38,,10,0,3,16,,,,,,,,
18,10-0-3-17-,8:38,,10,0,3,17,,,,,,,,
19,10-0-3-18-,8:39,,10,0,3,18,,,,,,,,
20,10-0-3-19-,8:39,,10,0,3,19,,,,,,,,
21,10-0-3-20-,8:40,,10,0,3,20,,,,,,,,
22,15-0-3-0-,8:40,,15,0,3,0,,,,,,,,
23,15-0-3-1-,8:41,,15,0,3,1,,,,,,,,
24,15-0-3-2-,8:41,,15,0,3,2,,,,,,,,
25,15-0-3-3-,8:42,,15,0,3,3,,,,,,,,
26,15-0-3-4-,8:42,,15,0,3,4,,,,,,,,
27,15-0-3-5-,8:43,,15,0,3,5,,,,,,,,
28,15-0-3-6-,8:43,,15,0,3,6,,,,,,,,
29,15-0-3-7-,8:44,,15,0,3,7,,,,,,,,
30,15-0-3-8-,8:44,,15,0,3,8,,,,,,,,
31,15-0-3-9-,8:45,,15,0,3,9,,,,,,,,
32,15-0-3-10-,8:45,,15,0,3,10,,,,,,,,
33,15-0-3-11-,8:46,,15,0,3,11,,,,,,,,
34,15-0-3-12-,8:46,,15,0,3,12,,,,,,,,
35,15-0-3-13-,8:47,,15,0,3,13,,,,,,,,
