t1552933295.37 U19.3221764329 I-93.575 T_a13.812 T_p-9.97412737375 R0.407144818947, 
t1552933295.47 U19.3368764329 I-93.575 T_a13.812 T_p-9.97412737375 R0.407144818947, 
t1552933295.58 U19.336992168 I-93.5856 T_a13.812 T_p-9.97412737375 R0.407144818947, 
t1552933295.69 U19.347592168 I-93.5856 T_a13.812 T_p-9.97412737375 R0.407144818947, 
t1552933295.8 U19.3389764329 I-93.575 T_a13.812 T_p-9.97412737375 R0.407144818947, 
t1552933295.91 U19.3472421818 I-93.5926 T_a13.812 T_p-9.97412737375 R0.407144818947, 
t1552933296.02 U19.324292168 I-93.5856 T_a13.812 T_p-9.97412737375 R0.407144818947, 
t1552933296.13 U19.3761671886 I-93.5961 T_a13.812 T_p-9.97412737375 R0.407144818947, 
t1552933296.24 U19.3375514261 I-93.5715 T_a13.812 T_p-9.97412737375 R0.407144818947, 
t1552933296.35 U19.3426014398 I-93.5785 T_a13.812 T_p-9.97412737375 R0.407144818947, 
t1552933296.45 U19.3341014398 I-93.5785 T_a13.812 T_p-9.97412737375 R0.407144818947, 
t1552933296.56 U19.3229421818 I-93.5926 T_a13.812 T_p-9.97412737375 R0.407144818947, 
t1552933296.67 U19.3616171749 I-93.5891 T_a13.812 T_p-9.97412737375 R0.407144818947, 
t1552933296.78 U19.2999764329 I-93.575 T_a13.812 T_p-9.97412737375 R0.407144818947, 
t1552933296.89 U19.3393264192 I-93.568 T_a13.812 T_p-9.97412737375 R0.407144818947, 
t1552933297.0 U19.2865264192 I-93.568 T_a13.812 T_p-10.1031011995 R0.407144818947, 
t1552933297.11 U19.3059671612 I-93.5821 T_a13.812 T_p-10.1031011995 R0.407144818947, 
t1552933297.21 U19.3098014398 I-93.5785 T_a13.812 T_p-10.1031011995 R0.407144818947, 
t1552933297.32 U19.3067171749 I-93.5891 T_a13.812 T_p-10.1031011995 R0.407144818947, 
t1552933297.43 U19.3536579168 I-93.6032 T_a13.812 T_p-10.1031011995 R0.407144818947, 
t1552933297.54 U19.2996671612 I-93.5821 T_a13.812 T_p-10.1031011995 R0.407144818947, 
t1552933297.65 U19.3009764329 I-93.575 T_a13.812 T_p-10.1031011995 R0.407144818947, 
t1552933308.96 U18.7091313195 I-100.7991 T_a13.812 T_p-9.12780187331 R0.407144818947, 
t1552933320.28 U19.143792168 I-93.5856 T_a13.812 T_p-8.62980475082 R0.407144818947, 
t1552933320.39 U19.1740671612 I-93.5821 T_a13.812 T_p-8.62980475082 R0.407144818947, 
t1552933320.49 U19.1378171749 I-93.5891 T_a13.812 T_p-8.62980475082 R0.407144818947, 
t1552933320.6 U19.1264514261 I-93.5715 T_a13.812 T_p-8.62980475082 R0.407144818947, 
t1552933320.71 U19.1457764329 I-93.575 T_a13.812 T_p-8.62980475082 R0.407144818947, 
t1552933320.82 U19.1683014398 I-93.5785 T_a13.812 T_p-8.62980475082 R0.407144818947, 
t1552933320.93 U19.1794579168 I-93.6032 T_a13.812 T_p-8.62980475082 R0.407144818947, 
t1552933321.03 U19.1328671612 I-93.5821 T_a13.812 T_p-8.69858731565 R0.407144818947, 
t1552933321.14 U19.1464514261 I-93.5715 T_a13.812 T_p-8.69858731565 R0.407144818947, 
t1552933321.25 U19.1399171749 I-93.5891 T_a13.812 T_p-8.69858731565 R0.407144818947, 
t1552933321.36 U19.1536171749 I-93.5891 T_a13.812 T_p-8.69858731565 R0.407144818947, 
t1552933321.47 U19.121592168 I-93.5856 T_a13.812 T_p-8.69858731565 R0.407144818947, 
t1552933321.58 U19.118392168 I-93.5856 T_a13.812 T_p-8.69858731565 R0.407144818947, 
t1552933321.69 U19.1292264192 I-93.568 T_a13.812 T_p-8.69858731565 R0.407144818947, 
t1552933321.8 U19.11363291 I-93.5997 T_a13.812 T_p-8.69858731565 R0.407144818947, 
t1552933321.91 U19.1498579168 I-93.6032 T_a13.812 T_p-8.69858731565 R0.407144818947, 
t1552933322.01 U19.1412671612 I-93.5821 T_a13.812 T_p-8.69858731565 R0.407144818947, 
t1552933322.12 U19.1420171749 I-93.5891 T_a13.812 T_p-8.69858731565 R0.407144818947, 
t1552933322.23 U19.1103014398 I-93.5785 T_a13.812 T_p-8.69858731565 R0.407144818947, 
t1552933322.34 U19.1042514261 I-93.5715 T_a13.812 T_p-8.69858731565 R0.407144818947, 
t1552933322.45 U19.1536171749 I-93.5891 T_a13.812 T_p-8.69858731565 R0.407144818947, 
t1552933322.55 U19.1053671612 I-93.5821 T_a13.812 T_p-8.69858731565 R0.407144818947, 
t1552933322.66 U19.1483014398 I-93.5785 T_a13.812 T_p-8.09151938868 R0.407144818947, 
t1552933322.77 U19.1014014123 I-93.5645 T_a13.812 T_p-8.09151938868 R0.407144818947, 
t1552933322.9 U19.1109764329 I-93.575 T_a13.812 T_p-8.09151938868 R0.407144818947, 
t1552933323.01 U19.1381671612 I-93.5821 T_a13.812 T_p-8.09151938868 R0.407144818947, 
t1552933323.12 U19.1264671612 I-93.5821 T_a13.812 T_p-8.09151938868 R0.407144818947, 
t1552933323.23 U19.1543671886 I-93.5961 T_a13.812 T_p-8.09151938868 R0.407144818947, 
t1552933323.33 U19.1180671612 I-93.5821 T_a13.812 T_p-8.09151938868 R0.407144818947, 
t1552933323.44 U19.1070264192 I-93.568 T_a13.812 T_p-8.09151938868 R0.407144818947, 
t1552933323.55 U19.1088764329 I-93.575 T_a13.812 T_p-8.09151938868 R0.407144818947, 
t1552933323.66 U19.0990671612 I-93.5821 T_a13.812 T_p-8.09151938868 R0.407144818947, 
t1552933323.77 U19.1335014398 I-93.5785 T_a13.812 T_p-8.09151938868 R0.407144818947, 
t1552933323.87 U19.1047671886 I-93.5961 T_a13.812 T_p-8.09151938868 R0.407144818947, 
t1552933323.98 U19.1307671612 I-93.5821 T_a13.812 T_p-8.09151938868 R0.407144818947, 
t1552933324.09 U19.1137514261 I-93.5715 T_a13.812 T_p-8.09151938868 R0.407144818947, 
t1552933324.2 U19.0940764329 I-93.575 T_a13.812 T_p20 R0.407144818947, 
t1552933324.31 U19.110992168 I-93.5856 T_a13.812 T_p-7.8024999256 R0.407144818947, 
t1552933324.41 U19.10833291 I-93.5997 T_a13.812 T_p-7.8024999256 R0.407144818947, 
t1552933324.52 U19.1010514261 I-93.5715 T_a13.812 T_p-7.8024999256 R0.407144818947, 
t1552933324.63 U19.0876764329 I-93.575 T_a13.812 T_p-7.8024999256 R0.407144818947, 
t1552933324.74 U19.0913014398 I-93.5785 T_a13.812 T_p-7.8024999256 R0.407144818947, 
t1552933324.85 U19.1061171749 I-93.5891 T_a13.812 T_p-7.8024999256 R0.407144818947, 
t1552933324.95 U19.1170421818 I-93.5926 T_a13.812 T_p-7.8024999256 R0.407144818947, 
t1552933325.06 U19.1029014398 I-93.5785 T_a13.812 T_p-7.8024999256 R0.407144818947, 
t1552933325.17 U19.0817264192 I-93.568 T_a13.812 T_p-7.8024999256 R0.407144818947, 
t1552933325.28 U19.121592168 I-93.5856 T_a13.812 T_p-7.8024999256 R0.407144818947, 
t1552933325.39 U19.097292168 I-93.5856 T_a13.812 T_p-7.8024999256 R0.407144818947, 
t1552933325.49 U19.09883291 I-93.5997 T_a13.812 T_p-7.8024999256 R0.407144818947, 
t1552933325.6 U19.1051171749 I-93.5891 T_a13.812 T_p-7.8024999256 R0.407144818947, 
t1552933325.71 U19.0852514261 I-93.5715 T_a13.812 T_p-7.8024999256 R0.407144818947, 
t1552933325.82 U19.0860014398 I-93.5785 T_a13.812 T_p-9.0963359111 R0.407144818947, 
t1552933325.93 U19.1169671612 I-93.5821 T_a13.812 T_p-9.0963359111 R0.407144818947, 
t1552933326.03 U19.11153291 I-93.5997 T_a13.812 T_p-9.0963359111 R0.407144818947, 
t1552933326.14 U19.1128421818 I-93.5926 T_a13.812 T_p-9.0963359111 R0.407144818947, 
t1552933326.25 U19.0979671612 I-93.5821 T_a13.812 T_p-9.0963359111 R0.407144818947, 
t1552933326.36 U19.0916671612 I-93.5821 T_a13.812 T_p-9.0963359111 R0.407144818947, 
