t1548793843.8 U0.0 I0.0 T-103 T_a-103.0, Charging started: BT-B-1_1
t1548794635.4 U25.1933 I2.5933 T16.25 T_a22.3566704567, 16.25
t1548794645.42 U25.1944 I2.5758 T16.25 T_a22.3744327321, 16.25
t1548794655.43 U25.1965 I2.5335 T16.25 T_a22.3862771763, 16.25
t1548794665.45 U25.1996 I2.523 T16.25 T_a22.3981216204, 16.25
t1548794675.47 U25.206 I2.4807 T16.25 T_a22.3981216204, 16.25
t1548794685.49 U25.1901 I2.4667 T16.25 T_a22.4040438425, 16.25
t1548794695.51 U25.1954 I2.4139 T16.25 T_a22.4158882866, 16.25
t1548794705.53 U25.1954 I2.4209 T16.25 T_a22.4277327308, 16.25
t1548794715.55 U25.1975 I2.3646 T16.25 T_a22.4514304741, 16.25
t1548794725.57 U25.1891 I2.3576 T16.25 T_a22.4632815779, 16.25
t1548794735.59 U25.1986 I2.333 T16.25 T_a22.4514304741, 16.25
t1548794745.61 U25.1996 I2.2978 T16.25 T_a22.4869770891, 16.25
t1548794755.63 U25.2017 I2.2802 T16.25 T_a22.4869770891, 16.25
t1548794765.65 U25.1965 I2.2555 T16.25 T_a22.4988326573, 16.25
t1548794775.67 U25.1975 I2.2133 T16.25 T_a22.5166104291, 16.25
t1548794785.68 U25.1944 I2.1816 T16.25 T_a22.534390433, 16.25
t1548794795.7 U25.1996 I2.1711 T16.25 T_a22.528463765, 16.25
t1548794805.72 U25.1996 I2.15 T16.25 T_a22.5521726876, 16.25
t1548794815.74 U25.1996 I2.1218 T16.25 T_a22.540317101, 16.25
t1548794825.76 U25.1975 I2.0972 T16.25 T_a22.5521726876, 16.25
t1548794830.49 U0.0 I0.0 T-104 T_a-104.0, Charging completed/interrupted: BT-B-1_1
