t1553596987.08 U19.8914167266 I-80.9813 T_a14.375 T_p15.2420228843 R0.407144818947, 
t1553596987.19 U19.8874667128 I-80.9743 T_a14.375 T_p15.2420228843 R0.407144818947, 
t1553596987.3 U19.9146167266 I-80.9813 T_a14.375 T_p15.2420228843 R0.407144818947, 
t1553596987.41 U19.9076574685 I-80.9954 T_a14.375 T_p15.2420228843 R0.407144818947, 
t1553596987.52 U19.8999324617 I-80.9919 T_a14.375 T_p15.2420228843 R0.407144818947, 
t1553596987.63 U19.9125167266 I-80.9813 T_a14.375 T_p15.2420228843 R0.407144818947, 
t1553596987.73 U19.8998167266 I-80.9813 T_a14.375 T_p15.2420228843 R0.407144818947, 
t1553596987.84 U19.8935167266 I-80.9813 T_a14.375 T_p15.2420228843 R0.407144818947, 
t1553596987.95 U19.8854417334 I-80.9848 T_a14.375 T_p15.2420228843 R0.407144818947, 
t1553596988.06 U19.9084074823 I-81.0024 T_a14.375 T_p15.4072560053 R0.407144818947, 
t1553596988.16 U19.9280824754 I-80.9989 T_a14.375 T_p15.4072560053 R0.407144818947, 
t1553596988.27 U19.9188167266 I-80.9813 T_a14.375 T_p15.4072560053 R0.407144818947, 
t1553596988.38 U19.8935167266 I-80.9813 T_a14.375 T_p15.4072560053 R0.407144818947, 
t1553596988.49 U19.8915074823 I-81.0024 T_a14.375 T_p15.4072560053 R0.407144818947, 
t1553596988.6 U19.8752667403 I-80.9883 T_a14.375 T_p15.4072560053 R0.407144818947, 
t1553596988.7 U19.9002417334 I-80.9848 T_a14.375 T_p15.4072560053 R0.407144818947, 
t1553596988.81 U19.8970417334 I-80.9848 T_a14.375 T_p15.4072560053 R0.407144818947, 
t1553596988.92 U19.8910667403 I-80.9883 T_a14.375 T_p15.4072560053 R0.407144818947, 
t1553596989.03 U19.8787167266 I-80.9813 T_a14.375 T_p15.4072560053 R0.407144818947, 
t1553596989.14 U19.9002417334 I-80.9848 T_a14.375 T_p15.4072560053 R0.407144818947, 
t1553596989.25 U19.8826667403 I-80.9883 T_a14.375 T_p15.4072560053 R0.407144818947, 
t1553596989.35 U19.9079667403 I-80.9883 T_a14.375 T_p15.4072560053 R0.407144818947, 
t1553596989.46 U19.8916667128 I-80.9743 T_a14.375 T_p15.4072560053 R0.407144818947, 
t1553596989.57 U19.8776167266 I-80.9813 T_a14.375 T_p16.0147646685 R0.407144818947, 
t1553596989.68 U19.8973917197 I-80.9778 T_a14.375 T_p16.0147646685 R0.407144818947, 
t1553596989.79 U19.9079667403 I-80.9883 T_a14.375 T_p16.0147646685 R0.407144818947, 
t1553596989.9 U19.8672324617 I-80.9919 T_a14.375 T_p16.0147646685 R0.407144818947, 
t1553596990.01 U19.8984667403 I-80.9883 T_a14.375 T_p16.0147646685 R0.407144818947, 
t1553596990.11 U19.9016667403 I-80.9883 T_a14.312 T_p16.0147646685 R0.407144818947, 
t1553596990.22 U19.8777324617 I-80.9919 T_a14.312 T_p16.0147646685 R0.407144818947, 
t1553596990.33 U19.9200324617 I-80.9919 T_a14.312 T_p16.0147646685 R0.407144818947, 
t1553596990.44 U19.8992574685 I-80.9954 T_a14.312 T_p16.0147646685 R0.407144818947, 
t1553596990.55 U19.8812574685 I-80.9954 T_a14.312 T_p16.0147646685 R0.407144818947, 
t1553596990.65 U19.8687917197 I-80.9778 T_a14.312 T_p16.0147646685 R0.407144818947, 
t1553596990.76 U19.9012417334 I-80.9848 T_a14.312 T_p16.0147646685 R0.407144818947, 
t1553596990.87 U19.8907574685 I-80.9954 T_a14.312 T_p16.0147646685 R0.407144818947, 
t1553596990.98 U19.8830324617 I-80.9919 T_a14.312 T_p16.0147646685 R0.407144818947, 
t1553596991.09 U19.8794667403 I-80.9883 T_a14.312 T_p16.0147646685 R0.407144818947, 
t1553596991.19 U19.8717574685 I-80.9954 T_a14.312 T_p16.3611309833 R0.407144818947, 
t1553596991.3 U19.8756324617 I-80.9919 T_a14.312 T_p16.3611309833 R0.407144818947, 
t1553596991.41 U19.8650167266 I-80.9813 T_a14.312 T_p16.3611309833 R0.407144818947, 
t1553596991.52 U19.8959417334 I-80.9848 T_a14.312 T_p16.3611309833 R0.407144818947, 
t1553596991.63 U19.8682324617 I-80.9919 T_a14.312 T_p16.3611309833 R0.407144818947, 
t1553596991.73 U19.8815667403 I-80.9883 T_a14.312 T_p16.3611309833 R0.407144818947, 
t1553596991.84 U19.8523167266 I-80.9813 T_a14.312 T_p16.3611309833 R0.407144818947, 
t1553596991.95 U19.8598324617 I-80.9919 T_a14.312 T_p16.3611309833 R0.407144818947, 
t1553596992.06 U19.8896417334 I-80.9848 T_a14.375 T_p16.3611309833 R0.407144818947, 
t1553596992.16 U19.8544167266 I-80.9813 T_a14.375 T_p16.3611309833 R0.407144818947, 
t1553596992.27 U19.8707574685 I-80.9954 T_a14.375 T_p16.3611309833 R0.407144818947, 
t1553596992.38 U19.8639167266 I-80.9813 T_a14.375 T_p16.3611309833 R0.407144818947, 
t1553596992.49 U19.8681167266 I-80.9813 T_a14.375 T_p16.3611309833 R0.407144818947, 
t1553596992.6 U19.8650324617 I-80.9919 T_a14.375 T_p16.3611309833 R0.407144818947, 
t1553596992.71 U19.8984667403 I-80.9883 T_a14.375 T_p16.3611309833 R0.407144818947, 
t1553596992.82 U19.8498667403 I-80.9883 T_a14.375 T_p16.5849592922 R0.407144818947, 
t1553596992.93 U19.8911824754 I-80.9989 T_a14.375 T_p16.5849592922 R0.407144818947, 
t1553596993.03 U19.8857667403 I-80.9883 T_a14.375 T_p16.5849592922 R0.407144818947, 
t1553596993.14 U19.8755167266 I-80.9813 T_a14.375 T_p16.5849592922 R0.407144818947, 
t1553596993.25 U19.8964824754 I-80.9989 T_a14.375 T_p16.5849592922 R0.407144818947, 
t1553596993.36 U19.8389417334 I-80.9848 T_a14.375 T_p16.5849592922 R0.407144818947, 
t1553596993.47 U19.9013574685 I-80.9954 T_a14.375 T_p16.5849592922 R0.407144818947, 
t1553596993.57 U19.8709667403 I-80.9883 T_a14.375 T_p16.5849592922 R0.407144818947, 
t1553596993.68 U19.8579417334 I-80.9848 T_a14.375 T_p16.5849592922 R0.407144818947, 
t1553596993.79 U19.8864417334 I-80.9848 T_a14.375 T_p16.5849592922 R0.407144818947, 
t1553596993.9 U19.8368417334 I-80.9848 T_a14.375 T_p16.5849592922 R0.407144818947, 
t1553596994.01 U19.8890824754 I-80.9989 T_a14.312 T_p16.5849592922 R0.407144818947, 
t1553596994.11 U19.8470167266 I-80.9813 T_a14.312 T_p16.5849592922 R0.407144818947, 
t1553596994.22 U19.8734167266 I-80.9813 T_a14.312 T_p16.5849592922 R0.407144818947, 
t1553596994.33 U19.8548417334 I-80.9848 T_a14.312 T_p16.5849592922 R0.407144818947, 
t1553596994.44 U19.8540667403 I-80.9883 T_a14.312 T_p16.7715015273 R0.407144818947, 
t1553596994.55 U19.8826667403 I-80.9883 T_a14.312 T_p16.7715015273 R0.407144818947, 
t1553596994.65 U19.8498667403 I-80.9883 T_a14.312 T_p16.7715015273 R0.407144818947, 
t1553596994.76 U19.8604667403 I-80.9883 T_a14.312 T_p16.7715015273 R0.407144818947, 
t1553596994.87 U19.8716667128 I-80.9743 T_a14.312 T_p16.7715015273 R0.407144818947, 
t1553596994.98 U19.8389417334 I-80.9848 T_a14.312 T_p16.7715015273 R0.407144818947, 
t1553596995.09 U19.8738574685 I-80.9954 T_a14.312 T_p16.7715015273 R0.407144818947, 
t1553596995.19 U19.8685417334 I-80.9848 T_a14.312 T_p16.7715015273 R0.407144818947, 
t1553596995.3 U19.8420667128 I-80.9743 T_a14.312 T_p16.7715015273 R0.407144818947, 
t1553596995.41 U19.8517574685 I-80.9954 T_a14.312 T_p16.7715015273 R0.407144818947, 
t1553596995.52 U19.8403667403 I-80.9883 T_a14.312 T_p16.7715015273 R0.407144818947, 
t1553596995.63 U19.8600417334 I-80.9848 T_a14.312 T_p16.7715015273 R0.407144818947, 
t1553596995.73 U19.8646667403 I-80.9883 T_a14.312 T_p16.7715015273 R0.407144818947, 
t1553596995.84 U19.8569574685 I-80.9954 T_a14.312 T_p16.7715015273 R0.407144818947, 
t1553596995.95 U19.8383824754 I-80.9989 T_a14.312 T_p16.7715015273 R0.407144818947, 
