t1549213347.76 U0.0 I0.0 T_a-103 T_p-103.0 R0, Charging started: manual charge
t1550657889.36 U22.5123 I8.3993 T_a13.625 T_p12.9560143317 R13.625, 
t1550657899.38 U22.5123 I8.3958 T_a13.625 T_p13.1488196681 R13.625, 
t1550657909.39 U22.5376 I8.3923 T_a13.625 T_p13.1327518638 R13.625, 
t1550657919.41 U22.5398 I8.3993 T_a13.625 T_p13.0203001632 R13.625, 
t1550657929.43 U22.5376 I8.3993 T_a13.625 T_p13.1006264786 R13.625, 
t1550657939.45 U22.5873 I8.3923 T_a13.625 T_p13.3093858868 R13.625, 
t1550657949.47 U22.5619 I8.4064 T_a13.625 T_p13.229113681 R13.625, 
t1550657959.49 U22.5915 I8.3958 T_a13.625 T_p13.2023456384 R13.625, 
t1550657969.51 U22.6094 I8.3958 T_a13.625 T_p13.4966135398 R13.625, 
t1550657979.53 U22.6253 I8.4029 T_a13.625 T_p13.2398159856 R13.625, 
t1550657989.55 U22.6454 I8.4064 T_a13.625 T_p13.5928561753 R13.625, 
t1550657999.57 U22.6411 I8.3923 T_a13.625 T_p13.6570123717 R13.625, 
t1550658009.59 U22.6538 I8.4029 T_a13.625 T_p13.4912670217 R13.625, 
t1550658019.61 U22.6443 I8.4029 T_a13.625 T_p13.5340481478 R13.625, 
t1550658029.62 U22.6633 I8.3993 T_a13.625 T_p13.5607720964 R13.625, 
t1550658039.64 U22.6549 I8.3958 T_a13.625 T_p13.8066583685 R13.625, 
t1550658049.66 U22.6802 I8.3923 T_a13.625 T_p13.7692551508 R13.625, 
t1550658059.68 U22.6549 I8.3958 T_a13.625 T_p13.8814599769 R13.625, 
t1550658069.7 U22.6686 I8.3923 T_a13.625 T_p13.9615891516 R13.625, 
t1550658079.72 U22.6665 I8.3923 T_a13.625 T_p13.8494058685 R13.625, 
t1550658089.74 U22.6865 I8.3958 T_a13.625 T_p13.8066562215 R13.625, 
t1550658099.77 U22.695 I8.3993 T_a13.625 T_p13.8654286554 R13.625, 
t1550658109.79 U22.7003 I8.3888 T_a13.625 T_p13.9669292637 R13.625, 
t1550658119.81 U22.7087 I8.3958 T_a13.625 T_p14.095108369 R13.625, 
t1550658129.83 U22.7383 I8.3958 T_a13.625 T_p14.0417004158 R13.625, 
t1550658139.85 U22.715 I8.3853 T_a13.625 T_p14.2926394433 R13.625, 
t1550658149.87 U22.7552 I8.3993 T_a13.625 T_p14.2552756185 R13.625, 
t1550658159.89 U22.7604 I8.4099 T_a13.625 T_p14.3246643815 R13.625, 
t1550658169.91 U22.7594 I8.3993 T_a13.625 T_p14.3780360202 R13.625, 
t1550658179.93 U22.7562 I8.3958 T_a13.625 T_p14.3780308156 R13.625, 
t1550658189.95 U22.7647 I8.3958 T_a13.625 T_p14.559454934 R13.625, 
t1550658199.97 U22.7826 I8.3993 T_a13.625 T_p14.4314002299 R13.625, 
t1550658209.99 U22.7689 I8.3923 T_a13.625 T_p14.5487804396 R13.625, 
t1550658220.0 U22.789 I8.3993 T_a13.625 T_p14.4740870317 R13.625, 
t1550658230.02 U22.8016 I8.3958 T_a13.625 T_p14.5754628353 R13.625, 
t1550658240.03 U22.7921 I8.3993 T_a13.625 T_p14.5274442985 R13.625, 
t1550658250.05 U22.8365 I8.4029 T_a13.625 T_p14.7834914622 R13.625, 
t1550658260.07 U22.8449 I8.3958 T_a13.625 T_p14.7088218553 R13.625, 
t1550658270.09 U22.8185 I8.3993 T_a13.625 T_p14.9754636217 R13.625, 
t1550658280.11 U22.8407 I8.3993 T_a13.625 T_p14.7461562541 R13.625, 
t1550658290.13 U22.8354 I8.4029 T_a13.625 T_p15.082095784 R13.625, 
t1550658300.15 U22.8777 I8.3923 T_a13.625 T_p14.8848138088 R13.625, 
t1550658310.17 U22.8703 I8.3993 T_a13.625 T_p15.1780537053 R13.625, 
t1550658320.19 U22.8946 I8.3993 T_a13.625 T_p15.2846659774 R13.625, 
t1550658330.21 U22.8692 I8.3958 T_a13.625 T_p15.2206994942 R13.625, 
t1550658340.23 U22.8956 I8.3958 T_a13.625 T_p15.1300767306 R13.625, 
t1550658350.25 U22.8766 I8.4064 T_a13.625 T_p15.1620617262 R13.625, 
t1550658360.27 U22.9167 I8.3993 T_a13.625 T_p15.2260304035 R13.625, 
t1550658370.29 U22.9305 I8.3958 T_a13.625 T_p15.4445649818 R13.625, 
t1550658380.31 U22.9062 I8.4064 T_a13.625 T_p15.508519398 R13.625, 
t1550658390.33 U22.941 I8.3958 T_a13.625 T_p15.5245067495 R13.625, 
t1550658400.35 U22.9273 I8.3923 T_a13.625 T_p15.508519398 R13.625, 
t1550658410.37 U22.9547 I8.4029 T_a13.625 T_p15.6524084404 R13.625, 
t1550658420.39 U22.9759 I8.3993 T_a13.625 T_p15.6044451801 R13.625, 
t1550658430.41 U22.978 I8.3993 T_a13.625 T_p15.8229322895 R13.625, 
t1550658440.43 U22.9938 I8.4029 T_a13.625 T_p15.7216844394 R13.625, 
t1550658450.45 U23.0054 I8.3958 T_a13.625 T_p15.9081920173 R13.625, 
t1550658460.46 U22.9906 I8.3993 T_a13.625 T_p15.8762200088 R13.625, 
t1550658470.48 U23.0297 I8.3958 T_a13.625 T_p15.8602336964 R13.625, 
t1550658480.5 U22.9906 I8.4029 T_a13.625 T_p16.0840366724 R13.625, 
t1550658490.52 U23.0498 I8.4029 T_a13.625 T_p16.2332394288 R13.625, 
t1550658500.55 U23.0529 I8.3993 T_a13.625 T_p16.0893652966 R13.625, 
