t1550845676.34 U20.9439062387 I-71.9943 T_a14.5 T_p15.2740059962 R0.407144818947, 
t1550845676.45 U20.9181812318 I-71.9908 T_a14.5 T_p15.2740059962 R0.407144818947, 
t1550845676.56 U20.9417312181 I-71.9838 T_a14.5 T_p15.2740059962 R0.407144818947, 
t1550845676.67 U20.925256225 I-71.9873 T_a14.5 T_p15.2740059962 R0.407144818947, 
t1550845676.77 U20.9213812318 I-71.9908 T_a14.5 T_p15.2740059962 R0.407144818947, 
t1550845676.88 U20.9326312456 I-71.9978 T_a14.5 T_p15.2740059962 R0.407144818947, 
t1550845676.99 U20.9117654968 I-71.9802 T_a14.5 T_p15.2740059962 R0.407144818947, 
t1550845677.1 U20.8981812318 I-71.9908 T_a14.5 T_p15.2740059962 R0.407144818947, 
t1550845677.21 U20.9330969669 I-72.0014 T_a14.5 T_p15.2740059962 R0.407144818947, 
t1550845677.32 U20.9238062387 I-71.9943 T_a14.5 T_p15.2740059962 R0.407144818947, 
t1550845677.42 U20.9295312456 I-71.9978 T_a14.5 T_p15.2740059962 R0.407144818947, 
t1550845677.53 U20.9002812318 I-71.9908 T_a14.5 T_p15.2740059962 R0.407144818947, 
t1550845677.64 U20.8984312181 I-71.9838 T_a14.5 T_p15.4978603578 R0.407144818947, 
t1550845677.75 U20.9266812318 I-71.9908 T_a14.5 T_p15.4978603578 R0.407144818947, 
t1550845677.86 U20.9006062387 I-71.9943 T_a14.5 T_p15.4978603578 R0.407144818947, 
t1550845677.96 U20.8917812318 I-71.9908 T_a14.5 T_p15.4978603578 R0.407144818947, 
t1550845678.07 U20.9207062387 I-71.9943 T_a14.5 T_p15.4978603578 R0.407144818947, 
t1550845678.18 U20.920956225 I-71.9873 T_a14.5 T_p15.4978603578 R0.407144818947, 
t1550845678.29 U20.8942312181 I-71.9838 T_a14.5 T_p15.4978603578 R0.407144818947, 
t1550845678.4 U20.9206312181 I-71.9838 T_a14.5 T_p15.4978603578 R0.407144818947, 
t1550845678.5 U20.9164062387 I-71.9943 T_a14.5 T_p15.4978603578 R0.407144818947, 
t1550845678.61 U20.8907812318 I-71.9908 T_a14.5 T_p15.4978603578 R0.407144818947, 
t1550845678.72 U20.891456225 I-71.9873 T_a14.5 T_p15.4978603578 R0.407144818947, 
t1550845678.83 U20.8922062387 I-71.9943 T_a14.5 T_p15.4978603578 R0.407144818947, 
t1550845678.94 U20.8784062387 I-71.9943 T_a14.5 T_p15.4978603578 R0.407144818947, 
t1550845679.05 U20.8932062387 I-71.9943 T_a14.5 T_p15.4978603578 R0.407144818947, 
t1550845679.15 U20.8907812318 I-71.9908 T_a14.5 T_p15.4978603578 R0.407144818947, 
t1550845679.26 U20.8953312181 I-71.9838 T_a14.5 T_p15.7163563615 R0.407144818947, 
t1550845679.37 U20.919956225 I-71.9873 T_a14.5 T_p15.7163563615 R0.407144818947, 
t1550845679.48 U20.8769812318 I-71.9908 T_a14.5 T_p15.7163563615 R0.407144818947, 
t1550845679.59 U20.9065812318 I-71.9908 T_a14.5 T_p15.7163563615 R0.407144818947, 
t1550845679.69 U20.873456225 I-71.9873 T_a14.5 T_p15.7163563615 R0.407144818947, 
t1550845679.8 U20.872456225 I-71.9873 T_a14.5 T_p15.7163563615 R0.407144818947, 
t1550845679.91 U20.8996062387 I-71.9943 T_a14.5 T_p15.7163563615 R0.407144818947, 
