t3.27592086792 U25.0026 I0.0504
t3.29617905617 U25.0026 I0.0456
t3.31606197357 U25.0026 I0.048
t3.33593297005 U25.0026 I0.0504
t3.35620999336 U25.0026 I0.0528
t3.37607192993 U25.0026 I0.0528
t3.39592885971 U25.0026 I0.0456
t3.41614294052 U25.0026 I0.048
t3.43605685234 U25.0042 I0.048
t3.45593690872 U25.0026 I0.0504
t3.47619104385 U25.0026 I0.0528
t3.50019788742 U25.0058 I0.0744
t3.52007985115 U25.0058 I0.108
t3.53995203972 U25.001 I0.1368
t3.56015205383 U25.0026 I0.2376
t3.58012986183 U25.0058 I0.2328
t3.5999379158 U25.001 I0.4008
t3.62015390396 U25.001 I0.492
t3.64006900787 U25.0026 I0.7224
t3.65994000435 U25.0042 I0.9984
t3.68020701408 U25.001 I0.6864
t3.70008802414 U25.001 I0.5952
t3.71995782852 U25.0026 I0.5112
t3.74019885063 U25.0074 I0.696
t3.76007199287 U24.9946 I0.5448
t3.77994799614 U24.9994 I0.5688
t3.80016303062 U24.9914 I0.5832
t3.82008600235 U25.0026 I0.5688
t3.83996701241 U25.0042 I0.7248
t3.86022186279 U25.0106 I0.7128
t3.88010501862 U25.0074 I0.6456
t3.89996504784 U25.0042 I0.7824
t3.92020893097 U24.993 I0.6624
t3.94008803368 U25.0058 I0.5352
t3.95996284485 U25.0106 I0.696
t3.98024702072 U25.0026 I0.732
t4.00009202957 U25.0026 I0.588
t4.01997804642 U25.0106 I0.648
t4.04023098946 U25.0058 I0.66
t4.06011295319 U25.009 I0.588
t4.07998204231 U25.0026 I0.7248
t4.100222826 U24.993 I0.672
t4.12010884285 U25.009 I0.5736
t4.13996982574 U24.9882 I0.6744
t4.16023182869 U25.0106 I0.8016
t4.18010687828 U24.9914 I0.6552
t4.19997596741 U25.0058 I0.7056
t4.22024083138 U24.9898 I0.588
t4.24012684822 U25.001 I0.7272
t4.25999093056 U25.001 I0.5784
t4.28019094467 U25.0042 I0.7248
t4.30011796951 U25.001 I0.5952
t4.3199839592 U25.009 I0.6552
t4.34020090103 U24.993 I0.7512
t4.36012291908 U25.0138 I0.7032
t4.38000202179 U25.0074 I0.7032
t4.40024995804 U25.0058 I0.6096
t4.42013692856 U24.9882 I0.5232
t4.43998599052 U25.0042 I0.5976
t4.46024298668 U25.0122 I0.5232
t4.48013687134 U25.001 I0.7584
t4.5 U24.9978 I0.6576
t4.52025485039 U25.0042 I0.6048
t4.54013490677 U25.0106 I0.6504
t4.56070494652 U24.9994 I0.7224
t4.58032894135 U24.993 I0.6864
t4.60016298294 U25.0058 I0.576
t4.62000703812 U25.0074 I0.5568
t4.6402528286 U24.9978 I0.6024
t4.66013383865 U24.9978 I0.5664
t4.6800069809 U24.9962 I0.624
t4.700289011 U25.0138 I0.7056
t4.72016096115 U24.9978 I0.6336
t4.74003195763 U25.0138 I0.6864
t4.7602648735 U25.001 I0.5856
t4.78015685081 U25.0138 I0.7392
t4.80000901222 U25.0058 I0.5904
t4.82026290894 U25.0074 I0.5616
t4.84015202522 U25.0042 I1.0728
t4.8600769043 U25.0122 I0.72
t4.88047099113 U25.0042 I0.744
t4.90017199516 U25.001 I0.7488
t4.92004084587 U24.9994 I0.5664
t4.94027686119 U25.0042 I0.5592
t4.96192383766 U25.0122 I0.6936
t4.98003387451 U25.0106 I0.6792
t5.00024700165 U25.0042 I0.6336
t5.02014803886 U25.0106 I0.684
t5.03999686241 U25.0138 I0.72
t5.06028389931 U24.9866 I0.624
t5.08017206192 U24.9851 I0.6624
t5.10003995895 U25.0058 I0.7536
t5.12025284767 U25.0138 I0.6864
t5.14016604424 U24.9946 I0.7056
t5.16000199318 U24.9994 I0.6912
t5.18023991585 U24.9978 I0.7488
t5.2001709938 U24.9994 I0.684
t5.22003102303 U24.9946 I0.6
t5.24029803276 U25.0106 I0.6432
t5.26017284393 U25.0138 I0.8232
t5.28005099297 U24.9946 I0.7824
t5.30025100708 U24.993 I0.8688
t5.3201918602 U25.009 I0.6336
t5.34001684189 U24.9946 I0.6696
t5.36042690277 U25.001 I0.6792
t5.38019585609 U25.0042 I0.7728
t5.40005803108 U25.0058 I0.8784
t5.42033004761 U25.0042 I0.8568
t5.44020104408 U25.0058 I0.7464
t5.46002197266 U25.0042 I0.7008
t5.48027086258 U24.9978 I0.7224
t5.50019192696 U25.0026 I0.6744
t5.52005386353 U25.0042 I0.6024
t5.5402739048 U25.0074 I0.768
t5.56019496918 U24.9978 I0.8496
t5.58007502556 U24.9962 I0.7272
t5.6002779007 U25.0058 I0.6048
t5.62020587921 U24.9962 I0.732
t5.64003396034 U25.0042 I0.5256
t5.66028499603 U25.0074 I0.756
t5.68019104004 U25.0026 I0.7608
t5.70003700256 U24.9962 I0.7752
t5.72028803825 U25.0042 I0.7128
t5.74021291733 U25.0026 I0.5952
t5.76008892059 U25.009 I0.5784
t5.7803030014 U25.0026 I0.6048
t5.80020284653 U24.9994 I0.7512
t5.82004189491 U25.0042 I0.768
t5.84028697014 U25.0026 I0.7128
t5.86020588875 U24.9994 I0.6024
t5.88005304337 U25.0122 I0.5832
t5.90029883385 U24.9978 I0.696
t5.92022490501 U24.9962 I0.6744
t5.94008803368 U24.9994 I0.7224
t5.96030688286 U24.9994 I0.6912
t5.98020982742 U25.001 I0.612
t6.00009083748 U25.0058 I0.6912
t6.02030992508 U25.009 I0.756
t6.0402469635 U24.9962 I0.864
t6.06006097794 U25.0026 I0.7176
t6.08035898209 U24.9946 I0.7272
t6.10023999214 U24.9994 I0.7848
t6.12010288239 U25.0058 I0.588
t6.14039897919 U24.9994 I0.84
t6.16023397446 U24.9994 I0.864
t6.18007087708 U25.009 I0.7224
t6.2003068924 U24.9978 I0.8184
t6.22023892403 U25.009 I0.7992
t6.24007296562 U24.9978 I0.8064
t6.26035785675 U24.9866 I0.9
t6.28024196625 U24.9866 I0.7032
t6.30011105537 U24.9914 I0.696
t6.32032084465 U24.9914 I0.7632
t6.34024405479 U25.0058 I0.8664
t6.36008095741 U24.9898 I0.7632
t6.38032197952 U24.9978 I0.7104
t6.40025997162 U25.0122 I0.7704
t6.42008686066 U24.9882 I0.6504
t6.44038200378 U24.9994 I0.6552
t6.46026086807 U25.0106 I0.7344
t6.48008584976 U25.0058 I0.6384
t6.50033688545 U25.001 I0.5784
t6.52025604248 U25.0202 I0.6552
t6.54009604454 U25.009 I0.5904
t6.560338974 U25.0138 I0.6792
t6.58026599884 U25.0042 I0.6912
t6.60014295578 U25.0106 I0.6816
t6.62034583092 U25.0138 I0.6024
t6.64026498795 U25.0074 I0.6792
t6.66010594368 U25.0042 I0.6408
t6.68034505844 U25.0026 I0.6528
t6.70026183128 U25.0042 I0.6024
t6.72009801865 U25.0138 I0.6288
t6.74036002159 U25.0138 I0.576
t6.76031684875 U25.0074 I0.7536
t6.78015899658 U25.0106 I0.6936
t6.80035996437 U24.9946 I0.744
t6.82026791573 U24.9978 I0.5352
t6.8401119709 U25.0042 I0.576
t6.86037182808 U24.9994 I0.6384
t6.8802728653 U24.9978 I0.732
t6.90011692047 U24.9978 I0.7704
t6.92036986351 U24.9962 I0.7944
t6.94029593468 U25.0042 I0.6792
t6.96015787125 U25.009 I0.7128
t6.98417901993 U24.9994 I0.876
t7.00816702843 U24.993 I0.768
t7.02837491035 U25.0074 I0.6192
t7.04829788208 U25.0122 I0.6528
t7.06812691689 U25.0106 I0.6696
t7.08837199211 U24.9994 I0.6528
t7.10829591751 U25.0106 I0.5688
t7.12812805176 U25.0074 I0.5592
t7.14842605591 U25.0106 I0.5616
t7.16831088066 U25.0106 I0.7656
t7.18817806244 U25.0074 I0.8016
t7.2088868618 U25.0058 I0.6936
t7.22829389572 U25.0026 I0.624
t7.24813699722 U25.009 I0.612
t7.26838183403 U25.0042 I0.6192
t7.28831505775 U24.9994 I0.6816
t7.30814003944 U25.0042 I0.7176
t7.32839202881 U25.0042 I0.696
t7.34831905365 U25.001 I0.6192
t7.36818504333 U25.0058 I0.6768
t7.38839697838 U25.0138 I0.7776
t7.40830993652 U24.9962 I0.732
t7.42818689346 U24.9994 I0.6096
t7.44839596748 U24.9946 I0.696
t7.46830797195 U24.9994 I0.7848
t7.4881529808 U25.0074 I0.5736
t7.50843691826 U24.9978 I0.7968
t7.52832889557 U24.9978 I0.9024
t7.5482070446 U25.0106 I0.7368
t7.56840491295 U24.9946 I0.8064
t7.5883500576 U25.0058 I0.8112
t7.60819482803 U25.001 I0.8016
t7.62840485573 U24.9898 I0.888
t7.64891195297 U25.0074 I0.7296
t7.66878700256 U25.0074 I0.6768
t7.69410395622 U24.9882 I0.6432
t7.71631598473 U25.0074 I0.7008
t7.73641705513 U25.0106 I0.672
t7.7563419342 U25.0106 I0.5712
t7.77622199059 U25.009 I0.7704
t7.79645490646 U25.0106 I0.7032
t7.81634092331 U24.9978 I0.744
t7.83618283272 U24.9978 I0.552
t7.8564209938 U25.0074 I0.5592
t7.87634682655 U25.001 I0.6192
t7.90442299843 U24.9994 I0.708
t7.92435097694 U24.9914 I0.6312
t7.94418382645 U24.9994 I0.5784
t7.96444106102 U25.0138 I0.6576
t7.98611187935 U25.0106 I0.7512
t8.00423502922 U25.0026 I0.6864
t8.02447891235 U25.009 I0.792
t8.04435706139 U25.009 I0.6192
t8.06422901154 U25.009 I0.6144
t8.08444499969 U25.0138 I0.6648
t8.10438585281 U25.0026 I0.6912
t8.12419700623 U25.0106 I0.6168
t8.14444899559 U25.0106 I0.5928
t8.16437196732 U25.0122 I0.5856
t8.18424487114 U25.0106 I0.6912
t8.20447492599 U25.0106 I0.7704
t8.22437000275 U25.001 I0.6912
t8.24420785904 U25.0058 I0.6024
t8.26444983482 U25.0042 I0.6216
t8.28436684608 U25.0058 I0.6336
t8.30420899391 U25.0026 I0.6624
t8.32450389862 U25.001 I0.7248
t8.34438490868 U25.0026 I0.684
t8.36425685883 U25.0026 I0.6432
t8.38446092606 U25.001 I0.6864
t8.40437984467 U25.0106 I0.7464
t8.42421483994 U25.001 I0.828
t8.44447088242 U24.9978 I0.7176
t8.46438384056 U24.9962 I0.6528
t8.48421883583 U25.001 I0.7392
t8.50450897217 U25.0058 I0.5856
t8.52438902855 U25.0074 I0.8064
t8.54426288605 U24.9962 I0.8856
t8.5644659996 U25.0106 I0.708
t8.58439397812 U25.0026 I0.768
t8.6048438549 U25.0042 I0.7992
