LineNumber,ID,RPM,angle ,,,"LineNumber, ID, Timestamp(Unix), RPM, Power, Deflection"
331,8-17.5-73-5,73,5,,,
332,8-17.5-73-10,73,10,,,
333,8-17.5-73-15,73,15,,,
334,8-17.5-73-20,73,20,,,
335,8-17.5-73-25,73,25,,,
336,8-17.5-73-30,73,30,,,
337,8-17.5-75-0,75,0,,,
338,8-17.5-75-5,75,5,,,
339,8-17.5-75-10,75,10,,,
340,8-17.5-75-15,75,15,,,
341,8-17.5-75-20,75,20,,,
342,8-17.5-75-25,75,25,,,
343,8-17.5-75-30,75,30,,,
344,12-5-71-0,71,0,,,
345,12-5-71-5,71,5,,,
346,12-5-71-10,71,10,,,
347,12-5-71-15,71,15,,,
348,12-5-71-20,71,20,,,
349,12-5-71-25,71,25,,,
350,12-5-71-30,71,30,,,
351,12-5-75-0,75,0,,,
352,12-5-75-5,75,5,,,
353,12-5-75-10,75,10,,,
354,12-5-75-15,75,15,,,
355,12-5-75-20,75,20,,,
356,12-5-75-25,75,25,,,
357,12-5-75-30,75,30,,,
358,12-10-71-0,71,0,,,
359,12-10-71-5,71,5,,,
360,12-10-71-10,71,10,,,
361,12-10-71-15,71,15,,,
362,12-10-71-20,71,20,,,
363,12-10-71-25,71,25,,,
364,12-10-71-30,71,30,,,
365,12-10-72-0,72,0,,,
366,12-10-72-5,72,5,,,
367,12-10-72-10,72,10,,,
368,12-10-72-15,72,15,,,
369,,72,20,,,
370,,72,25,,,
371,,72,30,,,
372,,73,0,,,
373,,73,5,,,
374,12-10-73-10,73,10,,,
375,12-10-73-15,73,15,,,
376,12-10-73-20,73,20,,,
377,12-10-73-25,73,25,,,
378,12-10-73-30,73,30,,,
379,12-10-74-0,74,0,,,
380,12-10-74-5,74,5,,,
381,12-10-74-10,74,10,,,
382,12-10-74-15,74,15,,,
383,12-10-74-20,74,20,,,
384,12-10-74-25,74,25,,,
385,12-10-74-30,74,30,,,
386,12-10-75-0,75,0,,,
387,12-10-75-5,75,5,,,
388,12-10-75-10,75,10,,,
389,12-10-75-15,75,15,,,
390,12-10-75-20,75,20,,,
391,12-10-75-25,75,25,,,
392,12-10-75-30,75,30,,,
393,12-15-71-0,71,0,,,
394,12-15-71-5,71,5,,,
395,12-15-71-10,71,10,,,
396,12-15-71-15,71,15,,,
397,12-15-71-20,71,20,,,
398,12-15-71-25,71,25,,,
399,12-15-71-30,71,30,,,
400,12-15-72-0,72,0,,,
401,12-15-72-5,72,5,,,
402,12-15-72-10,72,10,,,
403,12-15-72-15,72,15,,,
404,12-15-72-20,72,20,,,
405,12-15-72-25,72,25,,,
406,12-15-72-30,72,30,,,
407,12-15-73-0,73,0,,,
408,12-15-73-5,73,5,,,
409,12-15-73-10,73,10,,,
410,12-15-73-15,73,15,,,
411,12-15-73-20,73,20,,,
412,12-15-73-25,73,25,,,
413,12-15-73-30,73,30,,,
414,12-15-74-0,74,0,,,
415,12-15-74-5,74,5,,,
416,12-15-74-10,74,10,,,
417,12-15-74-15,74,15,,,
418,12-15-74-20,74,20,,,
419,12-15-74-25,74,25,,,
420,12-15-74-30,74,30,,,
421,12-15-75-0,75,0,,,
422,12-15-75-5,75,5,,,
423,12-15-75-10,75,10,,,
424,12-15-75-15,75,15,,,
425,12-15-75-20,75,20,,,
426,12-15-75-25,75,25,,,
427,12-15-75-30,75,30,,,
428,12-17.5-71-0,71,0,,,
429,12-17.5-71-5,71,5,,,
430,12-17.5-71-10,71,10,,,
431,12-17.5-71-15,71,15,,,
432,12-17.5-71-20,71,20,,,
433,12-17.5-71-25,71,25,,,
434,12-17.5-71-30,71,30,,,
435,12-17.5-72-0,72,0,,,
436,12-17.5-72-5,72,5,,,
437,12-17.5-72-10,72,10,,,
438,12-17.5-72-15,72,15,,,
439,12-17.5-72-20,72,20,,,
440,12-17.5-72-25,72,25,,,
441,12-17.5-72-30,72,30,,,
442,12-17.5-73-0,73,0,,,
443,12-17.5-73-5,73,5,,,
444,12-17.5-73-10,73,10,,,
445,12-17.5-73-15,73,15,,,
