timestamp,relative_time (seg),id,mechanicalPower,dcCurrent,acCurrent,outVoltage,dcVoltage,speedReq,speedActual,timeSpeedMeas,torqueReq,torqueActual,timeTorqueMeas,inv PCB temp,temp A,temp B,temp C,Motor temp,Analog inp 1,Analog inp 5,Analog inp 3,Analog inp 4,Analog inp 6
1564044178147,22.907,0xc0,0.08416200000000001,1.3,30.6,45.400000000000006,647.4000000000001,1500,651,22.9,0.0,25.6,22.903,36.800000000000004,32.9,33.2,33.300000000000004,40.800000000000004,4.92,4.93,4.92,4.92,4.93
1564044178152,22.912,0xc0,0.08416200000000001,1.3,30.6,45.400000000000006,647.4000000000001,1500,651,22.9,0.0,25.6,22.903,36.800000000000004,32.9,33.2,33.300000000000004,40.800000000000004,4.92,4.93,4.92,4.92,4.93
1564044178156,22.916,0xc0,0.08421400000000001,1.3,28.6,45.400000000000006,647.8000000000001,1500,651,22.9,0.0,24.400000000000002,22.912,36.800000000000004,32.9,33.2,33.300000000000004,40.800000000000004,4.92,4.93,4.92,4.92,4.93
1564044178161,22.921,0xc0,0.08416200000000001,1.3,28.200000000000003,46.900000000000006,647.4000000000001,1500,651,22.9,0.0,23.700000000000003,22.921,36.800000000000004,32.9,33.2,33.300000000000004,40.800000000000004,4.92,4.93,4.92,4.92,4.93
1564044178165,22.925,0xc0,0.08416200000000001,1.3,28.200000000000003,46.900000000000006,647.4000000000001,1500,651,22.9,0.0,23.700000000000003,22.921,36.800000000000004,32.9,33.2,33.300000000000004,40.800000000000004,4.92,4.93,4.92,4.92,4.93
1564044178170,22.93,0xc0,0.08418800000000001,1.3,26.1,47.2,647.6,1500,651,22.9,0.0,23.0,22.93,36.800000000000004,32.9,33.2,33.300000000000004,40.800000000000004,4.92,4.93,4.92,4.92,4.93
1564044178175,22.935,0xc0,0.08418800000000001,1.3,26.1,47.2,647.6,1500,651,22.9,0.0,23.0,22.93,36.800000000000004,32.9,33.2,33.300000000000004,40.800000000000004,4.92,4.93,4.92,4.92,4.93
1564044178179,22.939,0xc0,0.08424,1.3,26.5,47.400000000000006,648.0,1500,651,22.9,0.0,23.0,22.939,36.800000000000004,32.9,33.2,33.300000000000004,40.800000000000004,4.92,4.93,4.92,4.92,4.93
1564044178184,22.944,0xc0,0.08424,1.3,26.5,47.400000000000006,648.0,1500,651,22.9,0.0,23.0,22.939,36.800000000000004,32.9,33.2,33.300000000000004,40.800000000000004,4.92,4.93,4.92,4.92,4.93
1564044178189,22.949,0xc0,0.08421400000000001,1.3,24.3,47.6,647.8000000000001,1500,651,22.9,0.0,22.5,22.948,36.800000000000004,32.9,33.2,33.300000000000004,40.800000000000004,4.92,4.93,4.92,4.92,4.93
